Time (s),Channel 1 (V)
-0.002240000000000001,-0.004727783493209237
-0.0022375,-0.004388574209074458
-0.002234999999999999,-0.004727783493209082
-0.0022325,-0.004388574209074458
-0.002229999999999999,-0.004727783493209237
-0.0022275,-0.004388574209074458
-0.002225,-0.004727783493209237
-0.002222500000000001,-0.00506699277734386
-0.00222,-0.005066992777344015
-0.002217499999999999,-0.004388574209074458
-0.002215,-0.004388574209074458
-0.002212499999999999,-0.004388574209074458
-0.00221,-0.004388574209074458
-0.002207499999999999,-0.004388574209074458
-0.002205,-0.004727783493209237
-0.0022025,-0.004388574209074458
-0.002200000000000001,-0.005066992777343706
-0.0021975,-0.004727783493209237
-0.002194999999999999,-0.004727783493209082
-0.0021925,-0.004388574209074458
-0.002189999999999999,-0.004727783493209391
-0.0021875,-0.005066992777344015
-0.002184999999999999,-0.004727783493209237
-0.0021825,-0.004727783493209237
-0.00218,-0.004727783493209237
-0.002177500000000001,-0.004727783493209237
-0.002175,-0.004388574209074458
-0.002172499999999999,-0.004727783493209391
-0.00217,-0.005066992777344015
-0.002167499999999999,-0.004727783493209237
-0.002165,-0.004727783493209237
-0.002162499999999999,-0.004727783493209237
-0.00216,-0.00506699277734386
-0.0021575,-0.005066992777344015
-0.002155000000000001,-0.005066992777344015
-0.0021525,-0.005066992777344015
-0.002149999999999999,-0.00506699277734386
-0.0021475,-0.004727783493209237
-0.002144999999999999,-0.004727783493209237
-0.0021425,-0.004388574209074458
-0.00214,-0.004388574209074458
-0.002137500000000001,-0.005066992777343706
-0.002135,-0.004388574209074458
-0.002132499999999999,-0.004727783493209391
-0.00213,-0.005066992777344015
-0.002127499999999999,-0.005066992777343706
-0.002125,-0.004388574209074458
-0.002122499999999999,-0.004727783493209237
-0.00212,-0.004727783493209237
-0.0021175,-0.005066992777344015
-0.002115000000000001,-0.004727783493209391
-0.0021125,-0.004727783493209237
-0.002109999999999999,-0.004388574209074458
-0.0021075,-0.004388574209074458
-0.002104999999999999,-0.004727783493209391
-0.0021025,-0.005066992777344015
-0.002099999999999999,-0.005066992777344015
-0.0020975,-0.005066992777344015
-0.002095,-0.005066992777344015
-0.002092500000000001,-0.005406202061478528
-0.00209,-0.005406202061478682
-0.002087499999999999,-0.005066992777344169
-0.002085,-0.005406202061478682
-0.002082499999999999,-0.005406202061478682
-0.00208,-0.004727783493209237
-0.002077499999999999,-0.004388574209074458
-0.002075,-0.004727783493209082
-0.0020725,-0.005066992777344015
-0.002070000000000001,-0.005066992777344015
-0.0020675,-0.005066992777344015
-0.002064999999999999,-0.00506699277734386
-0.0020625,-0.004727783493209237
-0.002059999999999999,-0.005066992777344015
-0.0020575,-0.005066992777344015
-0.002055,-0.004727783493209237
-0.002052500000000001,-0.00506699277734386
-0.00205,-0.005066992777344015
-0.002047499999999999,-0.00506699277734386
-0.002045,-0.004727783493209237
-0.002042499999999999,-0.005066992777344015
-0.00204,-0.005066992777344015
-0.002037499999999999,-0.004388574209074458
-0.002035,-0.005066992777344015
-0.0020325,-0.004388574209074458
-0.002030000000000001,-0.004727783493209082
-0.0020275,-0.004727783493209237
-0.002024999999999999,-0.00506699277734386
-0.0020225,-0.004727783493209237
-0.002019999999999999,-0.00506699277734386
-0.0020175,-0.004727783493209237
-0.002014999999999999,-0.004388574209074458
-0.0020125,-0.004727783493209237
-0.00201,-0.00404936492493968
-0.002007500000000001,-0.004727783493208928
-0.002005,-0.005066992777344015
-0.002002499999999999,-0.004388574209074613
-0.002,-0.004727783493209237
-0.001997499999999999,-0.004727783493209237
-0.001995,-0.004727783493209237
-0.001992499999999999,-0.005066992777344015
-0.00199,-0.005066992777344015
-0.0019875,-0.004727783493209237
-0.001985000000000001,-0.00506699277734386
-0.0019825,-0.004727783493209237
-0.001979999999999999,-0.004388574209074613
-0.0019775,-0.004727783493209237
-0.001974999999999999,-0.005066992777344015
-0.0019725,-0.005066992777344015
-0.00197,-0.004727783493209237
-0.0019675,-0.004388574209074613
-0.001965,-0.004727783493209237
-0.001962499999999999,-0.004727783493209237
-0.00196,-0.004727783493209237
-0.001957499999999999,-0.004388574209074767
-0.001955,-0.005066992777344015
-0.001952499999999999,-0.004727783493209237
-0.00195,-0.005406202061478682
-0.0019475,-0.00404936492493968
-0.001945000000000001,-0.00404936492493968
-0.0019425,-0.004727783493209237
-0.001939999999999999,-0.004388574209074613
-0.0019375,-0.004727783493209237
-0.001934999999999999,-0.005066992777344015
-0.0019325,-0.005066992777344015
-0.001929999999999999,-0.004727783493209237
-0.0019275,-0.004727783493209237
-0.001925,-0.004727783493209237
-0.001922500000000001,-0.004727783493209237
-0.00192,-0.004727783493209237
-0.001917499999999999,-0.004727783493209082
-0.001915,-0.004388574209074458
-0.001912499999999999,-0.004727783493209237
-0.00191,-0.005066992777344015
-0.001907499999999999,-0.005066992777344015
-0.001905,-0.005066992777344015
-0.0019025,-0.004727783493209237
-0.001900000000000001,-0.00506699277734386
-0.0018975,-0.005066992777344015
-0.001894999999999999,-0.005406202061478528
-0.0018925,-0.005066992777344015
-0.001889999999999999,-0.005066992777344015
-0.0018875,-0.005066992777344015
-0.001885,-0.004388574209074458
-0.0018825,-0.004388574209074458
-0.00188,-0.004727783493209237
-0.001877500000000001,-0.004388574209074613
-0.001875,-0.004727783493209237
-0.001872499999999999,-0.004388574209074922
-0.00187,-0.005406202061478682
-0.001867499999999999,-0.005066992777344015
-0.001865,-0.005066992777344015
-0.0018625,-0.004727783493209237
-0.001860000000000001,-0.004727783493209237
-0.0018575,-0.004727783493209237
