Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
-0.01346561234110748,-59.79696192888441,0.6120609923907381
-0.01360047961609491,-59.67847901392492,1.671801984572241
-0.01357351622663891,-59.80464119504568,1.670372234981329
-0.01377711592199171,-59.75890779981442,1.149471229393367
-0.01376277144239676,-59.73247403160765,1.11291967734617
-0.01378358728441522,-59.74574488183648,1.195286367352338
-0.0138077438741997,-59.63464204824994,1.789696144606637
-0.01368681226655409,-59.80593968640491,1.226937752490144
-0.0138743833651607,-59.69551420789197,1.607461047902532
-0.01372744252240319,-59.66818309439694,1.198268439926892
-0.01364711220131455,-59.69876318787318,1.565242613051261
-0.01362873338031635,-59.74655100894837,2.214880453018424
-0.0134304708663654,-59.65665725573565,1.889924004585737
-0.01357015341350187,-59.77502829973737,1.554471362559894
-0.01367556006752393,-59.76639796355458,2.273227117636281
-0.01343159262346158,-59.73318105989019,1.792958543835553
-0.01358668824374714,-59.81009025046678,1.32039715748931
-0.01359242811516188,-59.8139462863908,2.040502569574119
-0.01338492757585989,-59.9308658079817,2.188794330007606
-0.01379003507987388,-59.65653261102769,2.18768990298878
-0.01386094324819334,-59.79422301206092,1.848155193019636
-0.01379709897811032,-59.67703945838736,2.128716628864247
-0.01376745085589146,-59.6216956187202,2.177003769012146
-0.0139806511766049,-59.67561029920836,2.782104933249549
-0.01362966692214078,-59.62156706227007,1.59831914127497
-0.01376814311524713,-59.75438944896521,2.324601598599912
-0.01388661522549149,-59.68962491016106,2.090717342293836
-0.01368098612736546,-59.70532171914421,1.776638002563914
-0.01359264775446788,-59.85809980604187,2.839935705067589
-0.01359425520274294,-59.742273766861,2.58550378974352
-0.01371662203951966,-59.81572183049153,1.968762467857516
-0.01391748100167946,-59.70123793449892,2.352839347163616
-0.01359345222767252,-59.73447486711086,3.202529327879425
-0.01343115612182011,-59.81504981385457,2.481458903874383
-0.01372771656480146,-59.9198693696902,3.212921107195029
-0.01361215629391175,-59.72274812338184,2.728785262377045
-0.01352153329688496,-59.86538840836901,2.969837077627886
-0.01361688902914993,-59.792207057948,4.252059313579686
-0.01389095685285155,-59.80281153169155,2.741975181453228
-0.0138672344088854,-59.79600266539467,3.707110181211419
-0.01373578864956233,-59.9283039553545,3.79342370552973
-0.01379230453545797,-59.87724436454204,3.293270271098038
-0.01373774548202491,-59.80490690722533,3.790265908760716
-0.01371117047550306,-59.86102832552723,3.907649473868872
-0.01386904189545964,-59.883422798418,4.373159102125754
-0.0138306173682668,-59.76975905576169,3.098918958156446
-0.01350069208253355,-59.63537357339323,3.969748264572431
-0.01354142151354469,-59.78060451828379,3.063815945638297
-0.01360846572757049,-59.81673839439856,4.001919156813187
-0.01360400413864776,-59.82869491303035,3.786248904779569
-0.01364987329027753,-59.8825920267811,3.751256943734205
-0.01383059778700351,-59.78115737881038,4.42617552908046
-0.01368276895760209,-59.58868593050455,4.305203655997246
-0.01352664367569867,-59.74372067490705,4.853163927866049
-0.01380545014082239,-59.81015445403866,4.396965711792831
-0.01373041527805224,-59.7758863464794,4.564215718034824
-0.01400575216034684,-59.79425427067918,5.468386557726504
-0.01343733696221943,-59.73021794578174,4.639064363102662
-0.01390046575416541,-59.96912045323312,4.828509635255545
-0.0140503263689681,-59.7506899719497,4.853090626787647
-0.01387918361687357,-59.70690874164702,4.670205471105206
-0.01416802369348779,-59.70848929463809,5.231736317960326
-0.01385917333690984,-59.68600174061458,5.614969841221594
-0.01400340864002142,-59.84778284132516,4.842428136129911
-0.01359158148450817,-59.68363080033831,5.522480166940092
-0.01391577984484185,-59.72100030625526,5.663336848413081
-0.01406034669798116,-59.60117000653406,6.088145061521239
-0.01367117530035654,-59.58287275595364,6.425372843763277
-0.01390657194581447,-59.81080449196842,6.607623711004848
-0.01366385899821988,-59.67339428080938,5.996622689322329
-0.01380087831707575,-59.74261900697748,6.437719482246365
-0.0138297528180121,-59.57358351694136,6.860530481122368
-0.01390550039111769,-59.76614186165817,7.926591977513192
-0.01343199663830551,-59.64346904184514,6.94401595728111
-0.01399274866986432,-59.62461792245602,7.316081373944115
-0.01351008903834085,-59.6715455714539,7.651335374121956
-0.01377944720019294,-59.67539632486739,7.866303073063094
-0.01369838292524142,-59.66710893296884,7.263785816205825
-0.01376839841327106,-59.7348734020853,8.314171182935706
-0.01400429983267225,-59.55463408489614,8.507307597109872
-0.01350798089971966,-59.65379137907608,8.231122713816731
-0.01366414922124449,-59.56054915061019,8.918609395837166
-0.01361355967814143,-59.72003052763145,8.539756070875413
-0.01356577588949026,-59.67890299332065,7.597776483665257
-0.01387480858879545,-59.77577521975925,10.32321495317578
