Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
-0.01669194521382673,-48.79364731358217,10.90529813614737
-0.01658938838700141,-48.76739013890008,11.06114570283145
-0.016616067252405,-48.75538319182394,11.11161813707575
-0.01675230612571255,-48.7317206290377,11.51482538094149
-0.01644828293988652,-48.69882339175967,11.72889663991194
-0.01654007946919299,-48.73037493891444,12.17053693144896
-0.01645685655897776,-48.69084295717253,12.56606201577219
-0.01665737759249391,-48.70740533292722,12.77093047636592
-0.01664598956401597,-48.66213954343515,13.10858444856663
-0.01667584379254866,-48.673005013803,13.33240062916366
-0.01640068358254751,-48.63340943793632,13.62471189142535
-0.01653664856663114,-48.63531702047349,13.83794008078005
-0.01641595958358325,-48.61471059030936,14.36911329492696
-0.01642998322978367,-48.59778083340785,14.66420644560937
-0.01641798627264274,-48.59821192116088,15.13369027221501
-0.01643555353164291,-48.54297771036859,15.55807498278688
-0.01653833854105341,-48.55207739289057,15.71240287397541
-0.01646852619726146,-48.55989202421702,15.80715167952074
-0.01638361588608816,-48.54639685967267,16.41849135913099
-0.01643468375622863,-48.51603543850028,16.72820068359329
-0.01643434057595377,-48.51649084974277,17.20975868851033
-0.01660724394319998,-48.48693924265735,17.65686596874025
-0.01665474816342648,-48.48263074992428,18.05559382511289
-0.01660499747528852,-48.45856297876829,18.17696483863516
-0.01632528406244654,-48.38307364680374,18.84659951223102
-0.01636751056542541,-48.41313975513253,19.13751954795931
-0.01676830684203238,-48.3774710786059,19.49102035844347
-0.016659050960368,-48.36356257376459,19.99867452667379
-0.01664474699435691,-48.36381266076147,20.34398225812775
-0.01642714477876492,-48.30691536998472,21.25286725503234
-0.01638289875973804,-48.2744257572621,21.57736416984858
-0.01657048290486535,-48.27226408736624,21.73058199302955
-0.01616363656711448,-48.18087115985082,22.34707253377307
-0.01639441635268523,-48.15506305355409,23.11912816592957
-0.01636505288397916,-48.17147486857931,23.38761277598617
-0.0164735716754613,-48.11408559192654,24.07417196253085
-0.01640466140868287,-48.10362687849297,24.34113431463257
-0.01643394958979911,-48.05489023944487,25.0333045897321
-0.01645933253248145,-48.01432284591307,25.53676185576857
-0.01642366790270886,-47.94583063085962,26.13556602075265
-0.01644835220090691,-47.95558514204458,26.682266302856
-0.01645368410699998,-47.88672700989999,27.18442540703776
-0.016408892859603,-47.83804232680527,27.85623438438162
-0.01630795157692601,-47.76002707072851,28.4188101700345
-0.01639294900148381,-47.7625317974448,29.03259659348304
-0.01654472178442735,-47.68800596205301,29.65483990757116
-0.01642242294609991,-47.65923627653551,30.29495598595867
-0.01641023383827934,-47.58953809655128,30.75857625456915
-0.01602220271115234,-47.54525533295609,31.4636680143761
-0.01612135655734734,-47.49501193830608,32.0743313816173
-0.01640424940230813,-47.45038654342162,32.90866403408627
-0.01665830697913642,-47.32089653461234,33.27073105321513
-0.01646180701822007,-47.29440491389089,34.11322228685751
-0.01665580608224505,-47.21755960717839,34.55301695312977
-0.0163331648573445,-47.13079759498893,35.21668118239984
-0.01629467301702425,-47.08070741480417,36.06675469084593
-0.01684543114044473,-47.01973874997867,36.4759543128821
-0.01648885293740441,-46.92354518293853,37.2898714769882
-0.01665689304485905,-46.86132510402129,37.87302988195164
-0.01647781372465983,-46.78286810601001,38.38301110475571
-0.01688735996969883,-46.68890258478407,39.19597083718051
-0.01629419845919001,-46.60379203831803,39.87827190906023
-0.01682582391975239,-46.52541819765014,40.64786525488386
-0.01638925688424927,-46.42773265487969,41.3440699467649
-0.01653926934329247,-46.33404516474963,42.21923384052666
-0.01685655209596157,-46.26043715765422,42.59259824915718
-0.01673861017028186,-46.12960231573271,43.36289519760293
-0.01646560504813269,-46.013347851662,43.91055628122972
-0.01674354254511627,-45.94709223252899,44.78698887717519
-0.01654478284280992,-45.80096731984977,45.33339953522603
-0.01687069908936741,-45.68217562349231,45.96875446826675
-0.01625947887652423,-45.57991010241941,46.61454721169623
